Prediction Threshold,Precision,Recall
0.1,0.6222596964586846,0.5729813664596274
0.15000000000000002,0.7825112107623319,0.5419254658385093
0.20000000000000004,0.8571428571428571,0.4937888198757764
0.25000000000000006,0.9102564102564102,0.4409937888198758
0.30000000000000004,0.9363957597173145,0.4114906832298137
0.3500000000000001,0.9520295202952029,0.40062111801242234
0.40000000000000013,0.9612403100775194,0.38509316770186336
0.45000000000000007,0.975609756097561,0.37267080745341613
0.5000000000000001,0.9828326180257511,0.3555900621118012
0.5500000000000002,0.985981308411215,0.327639751552795
0.6000000000000002,0.9895287958115183,0.29347826086956524
0.6500000000000001,1.0,0.2686335403726708
0.7000000000000002,1.0,0.2236024844720497
0.7500000000000002,1.0,0.19409937888198758
0.8000000000000002,1.0,0.16459627329192547
0.8500000000000002,1.0,0.13198757763975155
0.9000000000000002,1.0,0.07298136645962733
